94;6;Маленький Цезарь / Little Caesar;1930;;;202
95;4;На Западном фронте без перемен / All Quiet on the Western Front;1930;;;184
96;1;М убийца / M;1931;;12;317
97;1;Изгнанник / The Exile;1931;;39;224
98;6;Враг общества / The Public Enemy;1931;;;293
99;8;Дракула / Dracula;1931;;;284
100;1;Я – беглый каторжник / I Am a Fugitive from a Chain Gang;1932;;39;202
101;9;Неприятности в раю / Trouble in Paradise;1932;;;354
102;6;Лицо со шрамом / Scarface;1932;;;65
103;3;Белокурая Венера / Blonde Venus;1932;;;89
104;7;Люби меня сегодня / Love Me Tonight;1932;;;261
105;1;Ноль за поведение / Zero de conduite: Jeunes diables au college;1933;;44;126
106;1;Кристофер Стронг / Christopher Strong;1933;;39;109
107;1;Дружище Мендоса / El Compadre Mendoza;1933;;29;303
108;2;Жёлтый поход / La Croisiere Jaune;1933;;44;176
109;2;Земля без хлеба / Las Hurdes;1933;;20;181
110;8;Кинго Конг / King Kong;1933;;39;203
111;7;Парад в огнях рампы / Footlight Parade;1933;;;178
112;1;Аталанта / L’Atalante;1934;;44;126
113;2;Песнь о Цейлоне / The Song of Ceylon (Basil Wright;1934;;9;40
114;2;Новая земля / Nieuwe gronden;1934;;30;139
115;2;Траулер из Грэнтона / Granton Trawler;1934;;9;94
116;9;Это случилось однажды ночью / It Happened One Night;1934;;;320
117;5;Клеопатра / Cleopatra;1934;;;268
118;3;Кровавая императрица / The Scarlet Empress;1934;;;89
119;1;Преступление господина Ланжа / Le crime de monsieur Lange;1935;;44;128
120;1;39 ступеней / The 39 Steps;1935;;9;19
121;1;Новые времена / Modern Times;1935;;39;331
122;2;Триумф воли / Triumph des Willens;1935;;12;174
123;2;Жилищные проблемы / Housing Problems;1935;;9;344
124;9;Вечер в опере / A Night at the Opera;1935;;;278
125;8;Невеста Франкенштейна / Bride of Frankenstein;1935;;;76
126;7;Цилиндр / Top Hat;1935;;;195
127;1;Гионские сестры / Gion no shimai;1936;;56;168
128;2;Ночная почта / Night Mail;1936;;9;58
129;9;Мой слуга Годфри / My Man Godfrey;1936;;;81
