231;Питер Богданович
232;Питер Гринуэй
233;Питер Уир
234;Питер Уоткинс
235;Престон Стёрджес
236;Пьер Паоло Пазолини
237;Пьер Шёндёрффер
238;Райнер Вернер Фассбиндер
239;Рауль Руис
240;Рауль Уолш
241;Рене Клеман
242;Рене Клер
243;Ридли Скотт
244;Ритвик Гатак
245;Ричард Лестер
246;Ричард Ликок
247;Ричард Линклейтер
248;Роб Эпштейн
249;Робер Брессон
250;Роберт Вине
251;Роберт Гарднер
252;Роберт Олдрич
253;Роберт Олтмен
254;Роберт Сьодмак
255;Роберт Уайз
256;Роберт Флаэрти
257;Роберто Росселлини
258;Рой Андерссон
259;Роман Полански
260;Росс Макэлви
261;Рубен Мамулян
262;Рэй Эшли и др
263;Сатьяджит Рай
264;Сергей Бондарчук
265;Сергей Параджанов
266;Сергей Эйзенштейн
267;Серджио Леоне
268;Сесиль Б. Де Милль
269;Сёхэй Имамура
270;Сидни Франклин
271;София Коппола
272;Спайк Ли
273;Стивен Содерберг
274;Стивен Спилберг
275;Стэнли Донен
276;Стэнли Кубрик
277;Сулейман Сиссе
278;Сэм Вуд
279;Сэм Пекинпа
280;Сэмюэл Фуллер
281;Теодорос  Ангелопулос
282;Терренс Малик
283;Тимоти Аш
284;Тод Браунинг
285;Тодд Хейнс
286;Том Тыквер
287;Томас Винтерберг
288;Томас Гутьеррес Алеа
289;Тур Хейердал
290;Тэйноскэ Кинугаса
291;Уиллард Ван Дайк
292;Уильям Уайлер
293;Уильям Уэллман
294;Уильям Фридкин
295;Уильям Хейз
296;Умберто Солас
297;Уоррен Битти
298;Усман Сембен
299;Уэйн Ван
300;Файт Харлан
301;Федерико Феллини
302;Фенльян Янг
303;Фернандо Де Фуэнтес
304;Фернандо Соланас
305;Фернанду Мейреллиш
306;Фолькер Кепп
307;Франклин Дж. Шаффнер
308;Франсуа Трюффо
309;Фред М. Уилкокс
310;Фред Нибло
311;Фред С. Ньюмейер
312;Фред Френдли
313;Фред Циннеман
314;Фредерик Вайсман
315;Френсис Форд Коппола
316;Фридрих Вильгельм Мурнау
317;Фриц Ланг
318;Фриц Хипплер
319;Фрэнк Борзеги
320;Фрэнк Капра
321;Хаиль Герима
322;Хамфри Дженнингс
323;Хармони Корин
324;Харун Фароки
325;Ховард Хоукс
326;Хорхе Санхинес
327;Хоу Сяосянь
328;Хуан Антонио Бардем
329;Цай Минлян
330;Цзя Чжанкэ
331;Чарли Чаплин
332;Чарльз Бёрнетт
333;Чарльз Лоутон
334;Чарльз Уолтерс
335;Чарльз Шилер
336;Чжан Имоу
337;Чэнь Кайгэ
338;Шади Абдель Салам
339;Шанталь Акерман
340;Ширли Кларк
341;Эдвард Янг
342;Эдвин Портер
343;Эдгар Ульмер
344;Эдгар Энсти
345;Элиа Казан
346;Эмерих Прессбургер
347;Эмиль Де Антонио
348;Эмир Кустурица
349;Энди и Ларри Вачовски
350;Энн Хуи
351;Энтони Манн
352;Эрик Ромер
353;Эрих фон Штрогейм
354;Эрнст Любич
355;Ян Кадар
356;Ян Немец
357;Ясудзиро Одзу
